Year,Province,GDP,CPI,Population,Graduations_College,Graduations_University,Total_retail_sales,First_industry,Second_industry,Third_industry,Natural_Population_growth_rate,unemployment_rate
2014,Guangxi,13587.8,102.1,4770,10.9871,8.1127,5772.831668,2413.4,5145.6,6028.8,7.86,3.15
2014,Xinjiang,9264.5,102.1,2325,4.033,3.3493,2436.497347,1406.7,3829.3,4028.5,11.47,3.17
2014,Jiangsu,64830.5,102.2,8281,24.5217,25.6398,23458.07036,3607.4,31048.8,30174.3,2.43,3.01
2014,Jiangxi,15667.8,102.3,4480,12.2573,11.704,5292.628988,1626.9,8238.7,5802.3,6.98,3.27
2014,Hebei,25208.9,101.7,7323,17.2113,16.1591,11820.4578,3164.7,11476.9,10567.3,6.95,3.59
2014,Henan,34574.8,101.9,9645,24.5788,22.5882,14004.95412,3988.2,17139.6,13446.9,5.78,2.97
2014,Zhejiang,40023.5,102.1,5890,12.6958,14.6082,17835.33555,1726.6,19580.7,18716.2,5,2.96
2014,Hainan,3449,102.4,936,2.3236,2.5969,1224.504063,793.2,826.5,1829.3,8.61,2.26
2014,Hubei,28242.1,102,5816,18.265,21.4485,12449.2716,3001.6,13007.9,12232.6,4.9,3.1
2014,Hunan,25881.3,101.9,6611,14.878,15.8023,10723.4547,2671,11825.1,11385.2,6.63,4.14
2014,Gansu,6518.4,102.1,2531,5.7517,6.8865,2668.33109,695.8,2823.3,2999.4,6.1,2.19
2014,Fujian,24942.1,102,3945,8.9519,11.4131,9346.736536,1855.9,13165.1,9921.2,7.5,3.47
2014,Xizang,939.7,102.9,325,0.4487,0.5073,364.5084244,88.1,310.3,541.3,10.55,2.47
2014,Guizhou,9173.1,102.4,3677,5.9238,5.9591,2936.8519,1281.5,3582.4,4309.3,5.8,3.27
2014,Liaoning,20025.7,101.7,4358,9.9962,16.7502,11856.98493,2002,9038.8,8984.9,0.26,3.38
2014,Chongqing,14623.8,101.8,3043,8.3136,10.4418,5710.665977,990.8,6774.6,6858.5,3.62,3.46
2014,Shannxi,17402.5,101.6,3827,13.5659,17.1687,5918.705211,1566.9,9045,6790.6,3.87,3.34
2014,Qinghai,1847.7,102.8,576,0.6063,0.7899,620.8264305,215.9,714.8,917,8.49,3.15
2014,Heilongjiang,12170.8,101.5,3608,7.0209,12.7251,7015.3,2691,4872.4,4607.4,0.91,4.47
2015,Shanghai,26887,102.4,2458,4.7145,9.4986,11605.7,125.5,8408.7,18352.8,2.45,4.04
2015,Yunnan,14960,101.9,4663,6.7522,8.7626,6390.8,2079.3,5491.7,7389,6.4,3.96
2015,Neimenggu,12949,101.1,2440,5.8022,5.7474,4103.5,1630.2,5269.5,6049.2,2.4,3.65
2015,Beijing,24779.1,101.8,2188,3.6989,12.5413,12271.9,140.4,4419.8,20218.9,3.01,1.39
2015,Jilin,10018,101.7,2613,5.2102,11.6724,3571.7,1270.6,3837.8,4909.6,0.34,3.5
2015,Sichuan,30342,101.5,8196,18.556,19.2517,13834.4,3661,13192.5,13488.6,3.36,4.12
2015,Tianjin,10879.5,101.7,1439,5.979,8.4014,3963.2,162.3,4489.6,6227.6,0.23,3.5
2015,Ningxia,2579.4,101.1,684,1.2843,1.7905,1039.8,236.8,1116.8,1225.8,8.04,4.02
2015,Anhui,23831.2,101.3,6011,16.376,15.016,11190.8,2376.1,10838.3,10616.8,6.98,3.14
2015,Shandong,55288.8,101.2,9866,27.7694,24.2723,21550.9,4902.8,24814.9,25571.1,5.88,3.35
